Wavelength,Alexa Fluor 350 (EX),Wavelength,Alexa Fluor 350 (EM),Wavelength,Alexa Fluor 350-2P (2P)
585,,585,0.01108,585,
586,,586,0.01065,586,
587,,587,0.01089,587,
588,,588,0.01038,588,
589,,589,0.00983,589,
590,,590,0.0096,590,
591,,591,0.00922,591,
592,,592,0.00897,592,
593,,593,0.00851,593,
594,,594,0.00833,594,
595,,595,0.00827,595,
596,,596,0.00743,596,
597,,597,0.00815,597,
598,,598,0.00827,598,
599,,599,0.00758,599,
600,,600,0.00736,600,
700,,700,,700,34.28
720,,720,,720,24.5
740,,740,,740,15.84
760,,760,,760,5.83
780,,780,,780,2.6
800,,800,,800,0.61
820,,820,,820,0.054
840,,840,,840,0.023
860,,860,,860,0.018
