wavelength,mCherry ex,wavelength,mCherry em,wavelength,mCherry 2p
846,,846,,846,0.0266
847,,847,,847,0.0255
848,,848,,848,0.0245
849,,849,,849,0.0234
850,,850,,850,0.0224
851,,851,,851,0.0216
852,,852,,852,0.0208
853,,853,,853,0.0201
854,,854,,854,0.0194
855,,855,,855,0.0187
856,,856,,856,0.0182
857,,857,,857,0.0178
858,,858,,858,0.0176
859,,859,,859,0.0174
860,,860,,860,0.0173
861,,861,,861,0.0173
862,,862,,862,0.0173
863,,863,,863,0.0174
864,,864,,864,0.0175
865,,865,,865,0.0177
866,,866,,866,0.0179
867,,867,,867,0.0181
868,,868,,868,0.0184
869,,869,,869,0.0186
870,,870,,870,0.0188
871,,871,,871,0.0189
872,,872,,872,0.0189
873,,873,,873,0.019
874,,874,,874,0.0191
875,,875,,875,0.0193
876,,876,,876,0.0194
877,,877,,877,0.0196
878,,878,,878,0.0197
879,,879,,879,0.0198
880,,880,,880,0.0199
881,,881,,881,0.0202
882,,882,,882,0.0205
883,,883,,883,0.0209
884,,884,,884,0.0212
885,,885,,885,0.0216
886,,886,,886,0.0219
887,,887,,887,0.0223
888,,888,,888,0.0227
889,,889,,889,0.0232
890,,890,,890,0.0238
891,,891,,891,0.0244
892,,892,,892,0.025
893,,893,,893,0.0256
894,,894,,894,0.0262
895,,895,,895,0.0268
896,,896,,896,0.0274
897,,897,,897,0.0281
898,,898,,898,0.0288
899,,899,,899,0.0298
900,,900,,900,0.0308
901,,901,,901,0.0316
902,,902,,902,0.0323
903,,903,,903,0.0331
904,,904,,904,0.0339
905,,905,,905,0.0348
906,,906,,906,0.0356
907,,907,,907,0.0367
908,,908,,908,0.0378
909,,909,,909,0.0388
910,,910,,910,0.0396
911,,911,,911,0.0405
912,,912,,912,0.0414
913,,913,,913,0.0425
914,,914,,914,0.0438
915,,915,,915,0.045
916,,916,,916,0.0462
917,,917,,917,0.0476
918,,918,,918,0.049
919,,919,,919,0.0501
920,,920,,920,0.0513
921,,921,,921,0.0525
922,,922,,922,0.0537
923,,923,,923,0.0546
924,,924,,924,0.0555
925,,925,,925,0.0568
926,,926,,926,0.0583
927,,927,,927,0.0596
928,,928,,928,0.0609
929,,929,,929,0.0625
930,,930,,930,0.064
931,,931,,931,0.0654
932,,932,,932,0.0668
933,,933,,933,0.0683
934,,934,,934,0.0697
935,,935,,935,0.0709
936,,936,,936,0.0719
937,,937,,937,0.0728
938,,938,,938,0.0738
939,,939,,939,0.0749
940,,940,,940,0.0763
941,,941,,941,0.0781
942,,942,,942,0.0799
943,,943,,943,0.0817
944,,944,,944,0.0832
945,,945,,945,0.0847
946,,946,,946,0.0861
947,,947,,947,0.0877
948,,948,,948,0.0894
949,,949,,949,0.0912
950,,950,,950,0.0928
951,,951,,951,0.0938
952,,952,,952,0.0946
953,,953,,953,0.0957
954,,954,,954,0.0972
955,,955,,955,0.099
956,,956,,956,0.101
957,,957,,957,0.1029
958,,958,,958,0.1048
959,,959,,959,0.1064
960,,960,,960,0.1082
961,,961,,961,0.1103
962,,962,,962,0.1127
963,,963,,963,0.1151
964,,964,,964,0.1176
965,,965,,965,0.1204
966,,966,,966,0.1233
967,,967,,967,0.126
968,,968,,968,0.1284
969,,969,,969,0.1305
970,,970,,970,0.1323
971,,971,,971,0.1341
972,,972,,972,0.136
973,,973,,973,0.1381
974,,974,,974,0.1404
975,,975,,975,0.1429
976,,976,,976,0.1455
977,,977,,977,0.1475
978,,978,,978,0.1495
979,,979,,979,0.1523
980,,980,,980,0.1555
981,,981,,981,0.1584
982,,982,,982,0.1617
983,,983,,983,0.166
984,,984,,984,0.1703
985,,985,,985,0.1737
986,,986,,986,0.1769
987,,987,,987,0.1801
988,,988,,988,0.1831
989,,989,,989,0.1857
990,,990,,990,0.1883
991,,991,,991,0.1907
992,,992,,992,0.1929
993,,993,,993,0.1953
994,,994,,994,0.1983
995,,995,,995,0.2022
996,,996,,996,0.2068
997,,997,,997,0.2116
998,,998,,998,0.2162
999,,999,,999,0.2203
1000,,1000,,1000,0.2244
1001,,1001,,1001,0.2289
1002,,1002,,1002,0.2338
1003,,1003,,1003,0.2387
1004,,1004,,1004,0.2436
1005,,1005,,1005,0.2481
1006,,1006,,1006,0.2527
1007,,1007,,1007,0.2575
1008,,1008,,1008,0.263
1009,,1009,,1009,0.2696
1010,,1010,,1010,0.2767
1011,,1011,,1011,0.2833
1012,,1012,,1012,0.2898
