wavelength,Cy5 ex,wavelength,Cy5 em
715,,715,0.1934
716,,716,0.1934
717,,717,0.1899
718,,718,0.1899
719,,719,0.1864
720,,720,0.1864
721,,721,0.1829
722,,722,0.1829
723,,723,0.1794
724,,724,0.176
725,,725,0.176
726,,726,0.169
727,,727,0.169
728,,728,0.1655
729,,729,0.162
730,,730,0.1585
731,,731,0.155
732,,732,0.1515
733,,733,0.1446
734,,734,0.1446
735,,735,0.1411
736,,736,0.1376
737,,737,0.1341
738,,738,0.1306
739,,739,0.1271
740,,740,0.1167
741,,741,0.1167
742,,742,0.1132
743,,743,0.1097
744,,744,0.1062
745,,745,0.1027
746,,746,0.0992
747,,747,0.0958
748,,748,0.0923
749,,749,0.0853
750,,750,0.0853
751,,751,0.0818
752,,752,0.0783
753,,753,0.0748
754,,754,0.0713
755,,755,0.0679
756,,756,0.0644
757,,757,0.0644
758,,758,0.0609
759,,759,0.0609
760,,760,0.0574
761,,761,0.0539
762,,762,0.0539
763,,763,0.0469
764,,764,0.0469
765,,765,0.0435
766,,766,0.0435
767,,767,0.0435
768,,768,0.04
769,,769,0.04
770,,770,0.0365
771,,771,0.0365
772,,772,0.0365
773,,773,0.0365
774,,774,0.033
775,,775,0.033
776,,776,0.0295
777,,777,0.0296
778,,778,0.0296
779,,779,0.0296
780,,780,0.0296
781,,781,0.0296
782,,782,0.0278
783,,783,0.0278
784,,784,0.0278
785,,785,0.0279
786,,786,0.0279
787,,787,0.0279
788,,788,0.0244
789,,789,0.0244
790,,790,0.0244
791,,791,0.0244
792,,792,0.0244
793,,793,0.0244
794,,794,0.0244
795,,795,0.0244
796,,796,0.0244
797,,797,0.0244
798,,798,0.0209
799,,799,0.0209
