Wavelength,Alexa Fluor 488 Ab (EX),Wavelength,Alexa Fluor 488 Ab (EM)
622,0.00263,622,0.03049
623,0.00263,623,0.02897
624,0.00263,624,0.02795
625,0.00212,625,0.02689
626,0.00247,626,0.02586
627,0.00247,627,0.02439
628,0.00261,628,0.02395
629,0.00226,629,0.0228
630,0.00222,630,0.02168
631,0.00206,631,0.02109
632,0.00186,632,0.0204
633,0.00206,633,0.01971
634,0.00182,634,0.01924
635,0.00177,635,0.0186
636,0.002,636,0.01828
637,0.00186,637,0.01694
638,0.00169,638,0.01674
639,0.00175,639,0.01585
640,0.00169,640,0.0156
641,0.00177,641,0.01495
642,0.00163,642,0.01449
643,0.00151,643,0.01421
644,0.00118,644,0.01387
645,0.0011,645,0.01313
646,0.00125,646,0.01256
647,0.00102,647,0.01216
648,0.00131,648,0.01184
649,0.0012,649,0.0117
650,0.00128,650,0.01102
651,0.00092,651,0.01064
652,0.00084,652,0.01057
653,0.0009,653,0.01011
654,0.00072,654,0.0098
655,0.00086,655,0.00939
656,0.00051,656,0.00902
657,0.00064,657,0.00885
658,0.00049,658,0.00824
659,0.00045,659,0.00817
660,0.00053,660,0.00799
661,0,661,0.00761
662,0,662,0.0073
663,0,663,0.00717
664,0,664,0.00708
665,,665,0.00698
666,,666,0.00661
667,,667,0.00674
668,,668,0.0062
669,,669,0.0061
670,,670,0.0061
671,,671,0.00602
672,,672,0.00556
673,,673,0.00534
674,,674,0.00525
675,,675,0.00509
