wavelength,EGFP ex,wavelength,EGFP em,wavelength,EGFP 2p
599,0.0037,599,0.0407,599,
600,0.0036,600,0.0388,600,
601,0.0027,601,0.037,601,
602,0.0031,602,0.0361,602,
603,0.003,603,0.0356,603,
604,0.0033,604,0.0336,604,
605,0.0031,605,0.0324,605,
606,0.004,606,0.0325,606,
607,0.0039,607,0.0296,607,
608,0.0043,608,0.0286,608,
609,0.0038,609,0.0279,609,
610,0.0047,610,0.0271,610,0.3855
611,0.0034,611,0.0256,611,0.3816
612,0.0042,612,0.0252,612,0.3792
613,0.0038,613,0.0242,613,0.3785
614,0.0045,614,0.0222,614,0.3792
615,0.0041,615,0.022,615,0.3867
616,0.0038,616,0.0223,616,0.3926
617,0.0038,617,0.0208,617,0.3914
618,0.0041,618,0.0199,618,0.3896
619,0.005,619,0.019,619,0.3911
620,0.0041,620,0.0179,620,0.3941
621,0.0044,621,0.0178,621,0.3984
622,0.0027,622,0.017,622,0.4045
623,0.0041,623,0.0173,623,0.414
624,0.0028,624,0.0155,624,0.4231
625,0.0032,625,0.0153,625,0.4262
626,0.0026,626,0.0152,626,0.4269
627,0.0035,627,0.0147,627,0.4295
628,0.0037,628,0.0149,628,0.4326
629,0.0038,629,0.0142,629,0.4353
630,0.0041,630,0.0134,630,0.4382
631,0.0037,631,0.0136,631,0.4418
632,0.0045,632,0.0125,632,0.4433
633,0.0032,633,0.0125,633,0.4416
634,0.0033,634,0.012,634,0.4412
635,0.003,635,0.0118,635,0.4445
636,0.0034,636,0.0119,636,0.4494
637,0.0027,637,0.0113,637,0.4567
638,0.0023,638,0.0111,638,0.4636
639,0.0022,639,0.0109,639,0.4662
640,0.0031,640,0.0108,640,0.4663
641,0.0022,641,0.0104,641,0.4651
642,0.0028,642,0.0102,642,0.4627
643,0.0019,643,0.0102,643,0.4585
644,0.0023,644,0.0096,644,0.4564
645,0.0023,645,0.0099,645,0.4603
646,0.002,646,0.0096,646,0.4676
647,0.003,647,0.0087,647,0.4773
648,0.003,648,0.0097,648,0.4889
649,0.0034,649,0.0088,649,0.5002
650,0.0043,650,0.009,650,0.5098
651,0.0033,651,0.0084,651,0.5167
652,0.0038,652,0.0081,652,0.5219
653,0.0031,653,0.0079,653,0.5255
654,0.0038,654,0.0079,654,0.5282
